Genus,total_genus,Source,Gene1,Gene2,total_source,amr_only,both_genes,comparison
Acinetobacter,28242,Fish/Seafood,blaIMP,smr,1,0,0,blaIMP+smr
Acinetobacter,28242,Fish/Seafood,blaIMP,emrE,1,0,0,blaIMP+emrE
Acinetobacter,28242,Fish/Seafood,blaKPC,qac,1,0,0,blaKPC+qac
Acinetobacter,28242,Fish/Seafood,blaKPC,bcrABC,1,0,0,blaKPC+bcrABC
Acinetobacter,28242,Fish/Seafood,blaKPC,crcB,1,0,0,blaKPC+crcB
Acinetobacter,28242,Fish/Seafood,blaKPC,lmrS,1,0,0,blaKPC+lmrS
Acinetobacter,28242,Fish/Seafood,blaKPC,smr,1,0,0,blaKPC+smr
Acinetobacter,28242,Fish/Seafood,blaKPC,emrE,1,0,0,blaKPC+emrE
Acinetobacter,28242,Fish/Seafood,blaNDM,qac,1,0,0,blaNDM+qac
Acinetobacter,28242,Fish/Seafood,blaNDM,bcrABC,1,0,0,blaNDM+bcrABC
Acinetobacter,28242,Fish/Seafood,blaNDM,crcB,1,0,0,blaNDM+crcB
Acinetobacter,28242,Fish/Seafood,blaNDM,lmrS,1,0,0,blaNDM+lmrS
Acinetobacter,28242,Fish/Seafood,blaNDM,smr,1,0,0,blaNDM+smr
Acinetobacter,28242,Fish/Seafood,blaNDM,emrE,1,0,0,blaNDM+emrE
Acinetobacter,28242,Fish/Seafood,blaOXA,qac,1,1,0,blaOXA+qac
Acinetobacter,28242,Fish/Seafood,blaOXA,bcrABC,1,1,0,blaOXA+bcrABC
Acinetobacter,28242,Fish/Seafood,blaOXA,crcB,1,1,0,blaOXA+crcB
Acinetobacter,28242,Fish/Seafood,blaOXA,lmrS,1,1,0,blaOXA+lmrS
Acinetobacter,28242,Fish/Seafood,blaOXA,smr,1,1,0,blaOXA+smr
Acinetobacter,28242,Fish/Seafood,blaOXA,emrE,1,1,0,blaOXA+emrE
Acinetobacter,28242,Fish/Seafood,blaPER,qac,1,0,0,blaPER+qac
Acinetobacter,28242,Fish/Seafood,blaPER,bcrABC,1,0,0,blaPER+bcrABC
Acinetobacter,28242,Fish/Seafood,blaPER,crcB,1,0,0,blaPER+crcB
Acinetobacter,28242,Fish/Seafood,blaPER,lmrS,1,0,0,blaPER+lmrS
Acinetobacter,28242,Fish/Seafood,blaPER,smr,1,0,0,blaPER+smr
Acinetobacter,28242,Fish/Seafood,blaPER,emrE,1,0,0,blaPER+emrE
Acinetobacter,28242,Fish/Seafood,blaSHV,qac,1,0,0,blaSHV+qac
Acinetobacter,28242,Fish/Seafood,blaSHV,bcrABC,1,0,0,blaSHV+bcrABC
Acinetobacter,28242,Fish/Seafood,blaSHV,crcB,1,0,0,blaSHV+crcB
Acinetobacter,28242,Fish/Seafood,blaSHV,lmrS,1,0,0,blaSHV+lmrS
Acinetobacter,28242,Fish/Seafood,blaSHV,smr,1,0,0,blaSHV+smr
Acinetobacter,28242,Fish/Seafood,blaSHV,emrE,1,0,0,blaSHV+emrE
Acinetobacter,28242,Fish/Seafood,blaTEM,qac,1,0,0,blaTEM+qac
Acinetobacter,28242,Fish/Seafood,blaTEM,bcrABC,1,0,0,blaTEM+bcrABC
Acinetobacter,28242,Fish/Seafood,blaTEM,crcB,1,0,0,blaTEM+crcB
Acinetobacter,28242,Fish/Seafood,blaTEM,lmrS,1,0,0,blaTEM+lmrS
Acinetobacter,28242,Fish/Seafood,blaTEM,smr,1,0,0,blaTEM+smr
Acinetobacter,28242,Fish/Seafood,blaTEM,emrE,1,0,0,blaTEM+emrE
Acinetobacter,28242,Fish/Seafood,blaVIM,qac,1,0,0,blaVIM+qac
Acinetobacter,28242,Fish/Seafood,blaVIM,bcrABC,1,0,0,blaVIM+bcrABC
Acinetobacter,28242,Fish/Seafood,blaVIM,crcB,1,0,0,blaVIM+crcB
Acinetobacter,28242,Fish/Seafood,blaVIM,lmrS,1,0,0,blaVIM+lmrS
Acinetobacter,28242,Fish/Seafood,blaVIM,smr,1,0,0,blaVIM+smr
Acinetobacter,28242,Fish/Seafood,blaVIM,emrE,1,0,0,blaVIM+emrE
Acinetobacter,28242,Fish/Seafood,catA,qac,1,0,0,catA+qac
Acinetobacter,28242,Fish/Seafood,catA,bcrABC,1,0,0,catA+bcrABC
Acinetobacter,28242,Fish/Seafood,catA,crcB,1,0,0,catA+crcB
Acinetobacter,28242,Fish/Seafood,catA,lmrS,1,0,0,catA+lmrS
Acinetobacter,28242,Fish/Seafood,catA,smr,1,0,0,catA+smr
Acinetobacter,28242,Fish/Seafood,catA,emrE,1,0,0,catA+emrE
Acinetobacter,28242,Fish/Seafood,cmlA,qac,1,0,0,cmlA+qac
Acinetobacter,28242,Fish/Seafood,cmlA,bcrABC,1,0,0,cmlA+bcrABC
Acinetobacter,28242,Fish/Seafood,cmlA,crcB,1,0,0,cmlA+crcB
Acinetobacter,28242,Fish/Seafood,cmlA,lmrS,1,0,0,cmlA+lmrS
Acinetobacter,28242,Fish/Seafood,cmlA,smr,1,0,0,cmlA+smr
Acinetobacter,28242,Fish/Seafood,cmlA,emrE,1,0,0,cmlA+emrE
Acinetobacter,28242,Fish/Seafood,dfrA,qac,1,0,0,dfrA+qac
Acinetobacter,28242,Fish/Seafood,dfrA,bcrABC,1,0,0,dfrA+bcrABC
Acinetobacter,28242,Fish/Seafood,dfrA,crcB,1,0,0,dfrA+crcB
Acinetobacter,28242,Fish/Seafood,dfrA,lmrS,1,0,0,dfrA+lmrS
Acinetobacter,28242,Fish/Seafood,dfrA,smr,1,0,0,dfrA+smr
Acinetobacter,28242,Fish/Seafood,dfrA,emrE,1,0,0,dfrA+emrE
Acinetobacter,28242,Fish/Seafood,mec,qac,1,0,0,mec+qac
Acinetobacter,28242,Fish/Seafood,mec,bcrABC,1,0,0,mec+bcrABC
Acinetobacter,28242,Fish/Seafood,mec,crcB,1,0,0,mec+crcB
Acinetobacter,28242,Fish/Seafood,mec,lmrS,1,0,0,mec+lmrS
