Genus,Total_genus,Source,Gene,number,total
Aeromonas,1213,Egg,sde,,
Aeromonas,1213,Egg,lmrS,,
Aeromonas,1213,Egg,smr,,
Aeromonas,1213,Egg,ssmE,,
Aeromonas,1213,Egg,tbtR,,
Aeromonas,1213,Egg,ttg,,
Aeromonas,1213,Egg,ttgR,,
Aeromonas,1213,Egg,ttgT,,
Aeromonas,1213,Egg,mtrF,,
Aeromonas,1213,Egg,emrE,,
Aeromonas,1213,Fish/Seafood,qac,32,4
Aeromonas,1213,Fish/Seafood,qacEdelta,32,4
Aeromonas,1213,Fish/Seafood,qacC,32,0
Aeromonas,1213,Fish/Seafood,qacE,32,0
Aeromonas,1213,Fish/Seafood,qacA,32,0
Aeromonas,1213,Fish/Seafood,qacB,32,0
Aeromonas,1213,Fish/Seafood,qacF,32,0
Aeromonas,1213,Fish/Seafood,qacG,32,0
Aeromonas,1213,Fish/Seafood,qacH,32,0
Aeromonas,1213,Fish/Seafood,qacJ,32,0
Aeromonas,1213,Fish/Seafood,qacK,32,0
Aeromonas,1213,Fish/Seafood,qacL,32,0
Aeromonas,1213,Fish/Seafood,qacM,32,0
Aeromonas,1213,Fish/Seafood,sugE,32,0
Aeromonas,1213,Fish/Seafood,bcrABC,32,0
Aeromonas,1213,Fish/Seafood,crcB,32,0
Aeromonas,1213,Fish/Seafood,srp,32,0
Aeromonas,1213,Fish/Seafood,smd,32,0
Aeromonas,1213,Fish/Seafood,sde,32,0
Aeromonas,1213,Fish/Seafood,lmrS,32,0
Aeromonas,1213,Fish/Seafood,smr,32,0
Aeromonas,1213,Fish/Seafood,ssmE,32,0
Aeromonas,1213,Fish/Seafood,tbtR,32,0
Aeromonas,1213,Fish/Seafood,ttg,32,0
Aeromonas,1213,Fish/Seafood,ttgR,32,0
Aeromonas,1213,Fish/Seafood,ttgT,32,0
Aeromonas,1213,Fish/Seafood,mtrF,32,0
Aeromonas,1213,Fish/Seafood,emrE,32,0
Aeromonas,1213,Multi-product,qac,9,1
Aeromonas,1213,Multi-product,qacEdelta,9,0
Aeromonas,1213,Multi-product,qacC,9,0
Aeromonas,1213,Multi-product,qacE,9,0
Aeromonas,1213,Multi-product,qacA,9,0
Aeromonas,1213,Multi-product,qacB,9,0
Aeromonas,1213,Multi-product,qacF,9,0
Aeromonas,1213,Multi-product,qacG,9,0
Aeromonas,1213,Multi-product,qacH,9,0
Aeromonas,1213,Multi-product,qacJ,9,0
Aeromonas,1213,Multi-product,qacK,9,0
Aeromonas,1213,Multi-product,qacL,9,1
Aeromonas,1213,Multi-product,qacM,9,0
Aeromonas,1213,Multi-product,sugE,9,0
Aeromonas,1213,Multi-product,bcrABC,9,0
Aeromonas,1213,Multi-product,crcB,9,0
Aeromonas,1213,Multi-product,srp,9,0
Aeromonas,1213,Multi-product,smd,9,0
Aeromonas,1213,Multi-product,sde,9,0
Aeromonas,1213,Multi-product,lmrS,9,0
Aeromonas,1213,Multi-product,smr,9,0
Aeromonas,1213,Multi-product,ssmE,9,0
Aeromonas,1213,Multi-product,tbtR,9,0
Aeromonas,1213,Multi-product,ttg,9,0
Aeromonas,1213,Multi-product,ttgR,9,0
Aeromonas,1213,Multi-product,ttgT,9,0
Aeromonas,1213,Multi-product,mtrF,9,0
Aeromonas,1213,Multi-product,emrE,9,0
Aeromonas,1213,Meat/Poultry,qac,6,2
Aeromonas,1213,Meat/Poultry,qacEdelta,6,0
Aeromonas,1213,Meat/Poultry,qacC,6,0
Aeromonas,1213,Meat/Poultry,qacE,6,0
Aeromonas,1213,Meat/Poultry,qacA,6,0
Aeromonas,1213,Meat/Poultry,qacB,6,0
Aeromonas,1213,Meat/Poultry,qacF,6,0
Aeromonas,1213,Meat/Poultry,qacG,6,0
Aeromonas,1213,Meat/Poultry,qacH,6,0
Aeromonas,1213,Meat/Poultry,qacJ,6,0
Aeromonas,1213,Meat/Poultry,qacK,6,0
Aeromonas,1213,Meat/Poultry,qacL,6,0
Aeromonas,1213,Meat/Poultry,qacM,6,0
Aeromonas,1213,Meat/Poultry,sugE,6,0
Aeromonas,1213,Meat/Poultry,bcrABC,6,0
Aeromonas,1213,Meat/Poultry,crcB,6,0
Aeromonas,1213,Meat/Poultry,srp,6,0
Aeromonas,1213,Meat/Poultry,smd,6,0
Aeromonas,1213,Meat/Poultry,sde,6,0
Aeromonas,1213,Meat/Poultry,lmrS,6,0
Aeromonas,1213,Meat/Poultry,smr,6,0
Aeromonas,1213,Meat/Poultry,ssmE,6,0
Aeromonas,1213,Meat/Poultry,tbtR,6,0
Aeromonas,1213,Meat/Poultry,ttg,6,0
Aeromonas,1213,Meat/Poultry,ttgR,6,0
Aeromonas,1213,Meat/Poultry,ttgT,6,0
Aeromonas,1213,Meat/Poultry,mtrF,6,0
Aeromonas,1213,Meat/Poultry,emrE,6,0
Aeromonas,1213,Cider,qac,,
Aeromonas,1213,Cider,qacEdelta,,
Aeromonas,1213,Cider,qacC,,
Aeromonas,1213,Cider,qacE,,
Aeromonas,1213,Cider,qacA,,
