Genus,Source,Cluster,total_source,number
Clostridioides difficile,Fish/Seafood,vanG_cluster,0,0
Clostridioides difficile,Multi-product,vanA_YXcluster,6,0
Clostridioides difficile,Multi-product,vanA_cluster,6,0
Clostridioides difficile,Multi-product,vanB_YXcluster,6,0
Clostridioides difficile,Multi-product,vanB_cluster,6,0
Clostridioides difficile,Multi-product,vanRSPt_cluster,6,0
Clostridioides difficile,Multi-product,vanGZ_cluster,6,5
Clostridioides difficile,Multi-product,vanG_cluster,6,5
Clostridioides difficile,Meat/Poultry,vanA_YXcluster,41,0
Clostridioides difficile,Meat/Poultry,vanA_cluster,41,0
Clostridioides difficile,Meat/Poultry,vanB_YXcluster,41,0
Clostridioides difficile,Meat/Poultry,vanB_cluster,41,0
Clostridioides difficile,Meat/Poultry,vanRSPt_cluster,41,0
Clostridioides difficile,Meat/Poultry,vanGZ_cluster,41,18
Clostridioides difficile,Meat/Poultry,vanG_cluster,41,28
Clostridioides difficile,Dairy,vanA_YXcluster,1,0
Clostridioides difficile,Dairy,vanA_cluster,1,0
Clostridioides difficile,Dairy,vanB_YXcluster,1,0
Clostridioides difficile,Dairy,vanB_cluster,1,0
Clostridioides difficile,Dairy,vanRSPt_cluster,1,0
Clostridioides difficile,Dairy,vanGZ_cluster,1,0
Clostridioides difficile,Dairy,vanG_cluster,1,0
Clostridioides difficile,Fruit/Vegetables,vanA_YXcluster,46,0
Clostridioides difficile,Fruit/Vegetables,vanA_cluster,46,0
Clostridioides difficile,Fruit/Vegetables,vanB_YXcluster,46,0
Clostridioides difficile,Fruit/Vegetables,vanB_cluster,46,0
Clostridioides difficile,Fruit/Vegetables,vanRSPt_cluster,46,0
Clostridioides difficile,Fruit/Vegetables,vanGZ_cluster,46,23
Clostridioides difficile,Fruit/Vegetables,vanG_cluster,46,28
Clostridioides difficile,Clinical,vanA_YXcluster,20105,0
Clostridioides difficile,Clinical,vanA_cluster,20105,0
Clostridioides difficile,Clinical,vanB_YXcluster,20105,0
Clostridioides difficile,Clinical,vanB_cluster,20105,0
Clostridioides difficile,Clinical,vanRSPt_cluster,20105,0
Clostridioides difficile,Clinical,vanGZ_cluster,20105,13165
Clostridioides difficile,Clinical,vanG_cluster,20105,17137
Clostridium,Animal feed,vanA_YXcluster,9,0
Clostridium,Animal feed,vanA_cluster,9,0
Clostridium,Animal feed,vanB_YXcluster,9,0
Clostridium,Animal feed,vanB_cluster,9,0
Clostridium,Animal feed,vanRSPt_cluster,9,0
Clostridium,Animal feed,vanGZ_cluster,9,0
