Genus,Source,Gene,number,total,Percent
Escherichia coli,Animal environment,blaKPC,0,91,0
Escherichia coli,Animal feces,blaKPC,1,4932,0.02027575
Escherichia coli,Farm,blaKPC,0,1500,0
Escherichia coli,Egg,blaKPC,0,26,0
Escherichia coli,Farm sewage,blaKPC,0,6,0
Escherichia coli,Fish/Seafood,blaKPC,1,221,0.452488688
Escherichia coli,Food,blaKPC,0,765,0
Escherichia coli,Meat,blaKPC,18,9135,0.197044335
Escherichia coli,Reptile,blaKPC,0,13,0
Escherichia coli,Cider,blaKPC,0,14,0
Escherichia coli,Dairy,blaKPC,0,325,0
Escherichia coli,Slaughterhouse,blaKPC,0,247,0
Escherichia coli,Farm water,blaKPC,0,29,0
Escherichia coli,Flour,blaKPC,0,84,0
Escherichia coli,Fruit/vegetables,blaKPC,0,763,0
Escherichia coli,Seeds,blaKPC,0,5,0
Escherichia coli,Spice_Herbs,blaKPC,0,49,0
Escherichia coli,Insect,blaKPC,0,25,0
Escherichia coli,Nuts,blaKPC,0,29,0
Escherichia coli,Plant,blaKPC,0,16,0
Escherichia coli,Sewage,blaKPC,0,331,0
Escherichia coli,Wastewater,blaKPC,0,625,0
Escherichia coli,Water,blaKPC,3,1464,0.204918033
Escherichia coli,Tea,blaKPC,,,
Escherichia coli,Clinical,blaNDM,1199,40966,2.926817361
Escherichia coli,Animal,blaNDM,72,9972,0.722021661
Escherichia coli,Animal environment,blaNDM,7,91,7.692307692
Escherichia coli,Animal feces,blaNDM,13,4932,0.263584753
Escherichia coli,Farm,blaNDM,172,1500,11.46666667
Escherichia coli,Egg,blaNDM,0,26,0
Escherichia coli,Farm sewage,blaNDM,5,6,83.33333333
Escherichia coli,Fish/Seafood,blaNDM,0,221,0
Escherichia coli,Food,blaNDM,4,765,0.522875817
Escherichia coli,Meat,blaNDM,138,9135,1.510673235
Escherichia coli,Reptile,blaNDM,0,13,0
Escherichia coli,Cider,blaNDM,0,14,0
Escherichia coli,Dairy,blaNDM,0,325,0
Escherichia coli,Slaughterhouse,blaNDM,7,247,2.834008097
Escherichia coli,Farm water,blaNDM,0,29,0
Escherichia coli,Flour,blaNDM,0,84,0
Escherichia coli,Fruit/vegetables,blaNDM,2,763,0.262123198
Escherichia coli,Seeds,blaNDM,0,5,0
Escherichia coli,Spice_Herbs,blaNDM,0,49,0
Escherichia coli,Insect,blaNDM,0,25,0
Escherichia coli,Nuts,blaNDM,0,29,0
Escherichia coli,Plant,blaNDM,0,16,0
Escherichia coli,Sewage,blaNDM,3,331,0.906344411
Escherichia coli,Wastewater,blaNDM,0,625,0
Escherichia coli,Water,blaNDM,9,1464,0.614754098
Escherichia coli,Tea,blaNDM,,,
Escherichia coli,Clinical,blaOXA,4936,40966,12.04901626
Escherichia coli,Animal,blaOXA,165,9972,1.654632972
Escherichia coli,Animal environment,blaOXA,7,91,7.692307692
Escherichia coli,Animal feces,blaOXA,79,4932,1.601784266
Escherichia coli,Farm,blaOXA,33,1500,2.2
Escherichia coli,Egg,blaOXA,0,26,0
Escherichia coli,Farm sewage,blaOXA,0,6,0
Escherichia coli,Fish/Seafood,blaOXA,3,221,1.357466063
Escherichia coli,Food,blaOXA,25,765,3.267973856
Escherichia coli,Meat,blaOXA,726,9135,7.947454844
Escherichia coli,Reptile,blaOXA,0,13,0
Escherichia coli,Cider,blaOXA,0,14,0
Escherichia coli,Dairy,blaOXA,1,325,0.307692308
Escherichia coli,Slaughterhouse,blaOXA,14,247,5.668016194
Escherichia coli,Farm water,blaOXA,0,29,0
Escherichia coli,Flour,blaOXA,0,84,0
Escherichia coli,Fruit/vegetables,blaOXA,5,763,0.655307995
Escherichia coli,Seeds,blaOXA,0,5,0
Escherichia coli,Spice_Herbs,blaOXA,0,49,0
Escherichia coli,Insect,blaOXA,0,25,0
Escherichia coli,Nuts,blaOXA,0,29,0
Escherichia coli,Plant,blaOXA,0,16,0
Escherichia coli,Sewage,blaOXA,52,331,15.70996979
Escherichia coli,Wastewater,blaOXA,64,625,10.24
Escherichia coli,Water,blaOXA,32,1464,2.18579235
Escherichia coli,Tea,blaOXA,,,
Escherichia coli,Clinical,blaPER,2,40966,0.004882097
Escherichia coli,Animal,blaPER,0,9972,0
Escherichia coli,Animal environment,blaPER,0,91,0
Escherichia coli,Animal feces,blaPER,0,4932,0
Escherichia coli,Farm,blaPER,0,1500,0
Escherichia coli,Egg,blaPER,0,26,0
Escherichia coli,Farm sewage,blaPER,0,6,0
Escherichia coli,Fish/Seafood,blaPER,0,221,0
Escherichia coli,Food,blaPER,0,765,0
