Genus,Source,Class,number,total,Percent
Shigella,Clinical,fusidic acid,0,11270,0
Shigella,Animal,fusidic acid,0,24,0
Shigella,Animal environment,fusidic acid,,,
Shigella,Animal feces,fusidic acid,,,
Shigella,Farm,fusidic acid,,,
Shigella,Egg,fusidic acid,,,
Shigella,Farm sewage,fusidic acid,,,
Shigella,Fish/Seafood,fusidic acid,0,2,0
Shigella,Food,fusidic acid,0,35,0
Shigella,Meat,fusidic acid,0,12,0
Shigella,Reptile,fusidic acid,,,
Shigella,Cider,fusidic acid,,,
Shigella,Dairy,fusidic acid,,,
Shigella,Slaughterhouse,fusidic acid,,,
Shigella,Farm water,fusidic acid,,,
Shigella,Flour,fusidic acid,,,
Shigella,Fruit/vegetables,fusidic acid,0,1,0
Shigella,Seeds,fusidic acid,,,
Shigella,Spice_Herbs,fusidic acid,,,
Shigella,Insect,fusidic acid,,,
Shigella,Nuts,fusidic acid,,,
Shigella,Plant,fusidic acid,,,
Shigella,Sewage,fusidic acid,0,2,0
Shigella,Wastewater,fusidic acid,,,
Shigella,Water,fusidic acid,0,2,0
Shigella,Tea,fusidic acid,,,
Shigella,Clinical,glycopeptide,0,11270,0
Shigella,Animal,glycopeptide,0,24,0
Shigella,Animal environment,glycopeptide,,,
Shigella,Animal feces,glycopeptide,,,
Shigella,Farm,glycopeptide,,,
Shigella,Egg,glycopeptide,,,
Shigella,Farm sewage,glycopeptide,,,
Shigella,Fish/Seafood,glycopeptide,0,2,0
Shigella,Food,glycopeptide,0,35,0
Shigella,Meat,glycopeptide,0,12,0
Shigella,Reptile,glycopeptide,,,
Shigella,Cider,glycopeptide,,,
Shigella,Dairy,glycopeptide,,,
Shigella,Slaughterhouse,glycopeptide,,,
Shigella,Farm water,glycopeptide,,,
Shigella,Flour,glycopeptide,,,
Shigella,Fruit/vegetables,glycopeptide,0,1,0
Shigella,Seeds,glycopeptide,,,
Shigella,Spice_Herbs,glycopeptide,,,
Shigella,Insect,glycopeptide,,,
Shigella,Nuts,glycopeptide,,,
Shigella,Plant,glycopeptide,,,
Shigella,Sewage,glycopeptide,0,2,0
