Species,Genus,total_genus,Source,Gene,number,total
Enterobacter mori,Enterobacter,48,Tea,blaIMP,,
Enterobacter mori,Enterobacter,48,Tea,blaKPC,,
Enterobacter mori,Enterobacter,48,Tea,blaNDM,,
Enterobacter mori,Enterobacter,48,Tea,blaOXA,,
Enterobacter mori,Enterobacter,48,Tea,blaPER,,
Enterobacter mori,Enterobacter,48,Tea,blaSHV,,
Enterobacter mori,Enterobacter,48,Tea,blaTEM,,
Enterobacter mori,Enterobacter,48,Tea,blaVIM,,
Enterobacter mori,Enterobacter,48,Tea,catA,,
Enterobacter mori,Enterobacter,48,Tea,cmlA,,
Enterobacter mori,Enterobacter,48,Tea,dfrA,,
Enterobacter mori,Enterobacter,48,Tea,mec,,
Enterobacter mori,Enterobacter,48,Tea,mcr-,,
Enterobacter mori,Enterobacter,48,Tea,mcr-1,,
Enterobacter mori,Enterobacter,48,Tea,mcr-9,,
Enterobacter mori,Enterobacter,48,Tea,qnrS,,
Enterobacter mori,Enterobacter,48,Tea,sul,,
Enterobacter mori,Enterobacter,48,Tea,tet,,
Enterobacter mori,Enterobacter,48,Tea,van,,
Enterobacter mori,Enterobacter,48,Tea,gyrA,,
Enterobacter mori,Enterobacter,48,Tea,parC,,
Enterobacter mori,Enterobacter,48,Tea,parE,,
Enterobacter mori,Enterobacter,48,Clinical,aac(3),24,4
Enterobacter mori,Enterobacter,48,Clinical,aac(6')-Ib-cr,24,3
Enterobacter mori,Enterobacter,48,Clinical,aadA,24,7
Enterobacter mori,Enterobacter,48,Clinical,aph(3'')-Ib,24,6
Enterobacter mori,Enterobacter,48,Clinical,aph(3'),24,2
Enterobacter mori,Enterobacter,48,Clinical,aph(6)-Id,24,6
Enterobacter mori,Enterobacter,48,Clinical,blaACT,24,24
Enterobacter mori,Enterobacter,48,Clinical,blaCARB,24,0
Enterobacter mori,Enterobacter,48,Clinical,blaCMY,24,0
Enterobacter mori,Enterobacter,48,Clinical,blaCMY-2,24,0
Enterobacter mori,Enterobacter,48,Clinical,blaCTX-M,24,2
Enterobacter mori,Enterobacter,48,Clinical,blaGES,24,0
Enterobacter mori,Enterobacter,48,Clinical,blaIMP,24,1
Enterobacter mori,Enterobacter,48,Clinical,blaKPC,24,3
Enterobacter mori,Enterobacter,48,Clinical,blaNDM,24,4
Enterobacter mori,Enterobacter,48,Clinical,blaOXA,24,2
Enterobacter mori,Enterobacter,48,Clinical,blaPER,24,0
Enterobacter mori,Enterobacter,48,Clinical,blaSHV,24,4
Enterobacter mori,Enterobacter,48,Clinical,blaTEM,24,5
Enterobacter mori,Enterobacter,48,Clinical,blaVIM,24,1
Enterobacter mori,Enterobacter,48,Clinical,catA,24,21
Enterobacter mori,Enterobacter,48,Clinical,cmlA,24,0
Enterobacter mori,Enterobacter,48,Clinical,dfrA,24,7
Enterobacter mori,Enterobacter,48,Clinical,mec,24,0
Enterobacter mori,Enterobacter,48,Clinical,mcr-,24,4
Enterobacter mori,Enterobacter,48,Clinical,mcr-1,24,0
Enterobacter mori,Enterobacter,48,Clinical,mcr-9,24,4
Enterobacter mori,Enterobacter,48,Clinical,qnrS,24,1
Enterobacter mori,Enterobacter,48,Clinical,sul,24,9
Enterobacter mori,Enterobacter,48,Clinical,tet,24,5
Enterobacter mori,Enterobacter,48,Clinical,van,24,0
Enterobacter mori,Enterobacter,48,Clinical,gyrA,24,0
Enterobacter mori,Enterobacter,48,Clinical,parC,24,0
Enterobacter mori,Enterobacter,48,Clinical,parE,24,0
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,aac(3),,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,aac(6')-Ib-cr,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,aadA,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,aph(3'')-Ib,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,aph(3'),,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,aph(6)-Id,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,blaACT,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,blaCARB,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,blaCMY,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,blaCMY-2,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,blaCTX-M,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,blaGES,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,blaIMP,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,blaKPC,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,blaNDM,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,blaOXA,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,blaPER,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,blaSHV,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,blaTEM,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,blaVIM,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,catA,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,cmlA,,
Enterobacter oligotrophicus,Enterobacter,4,Raw pet food,dfrA,,
