Genus,Source,Gene,number,total
Aeromonas salmonicida,330,Meat/Poultry,qacH,4,0
Aeromonas salmonicida,330,Meat/Poultry,qacJ,4,0
Aeromonas salmonicida,330,Meat/Poultry,qacK,4,0
Aeromonas salmonicida,330,Meat/Poultry,qacL,4,0
Aeromonas salmonicida,330,Meat/Poultry,qacM,4,0
Aeromonas salmonicida,330,Meat/Poultry,sugE,4,0
Aeromonas salmonicida,330,Meat/Poultry,bcrABC,4,0
Aeromonas salmonicida,330,Meat/Poultry,crcB,4,0
Aeromonas salmonicida,330,Meat/Poultry,srp,4,0
Aeromonas salmonicida,330,Meat/Poultry,smd,4,0
Aeromonas salmonicida,330,Meat/Poultry,sde,4,0
Aeromonas salmonicida,330,Meat/Poultry,lmrS,4,0
Aeromonas salmonicida,330,Meat/Poultry,smr,4,0
Aeromonas salmonicida,330,Meat/Poultry,ssmE,4,0
Aeromonas salmonicida,330,Meat/Poultry,tbtR,4,0
Aeromonas salmonicida,330,Meat/Poultry,ttg,4,0
Aeromonas salmonicida,330,Meat/Poultry,ttgR,4,0
Aeromonas salmonicida,330,Meat/Poultry,ttgT,4,0
Aeromonas salmonicida,330,Meat/Poultry,mtrF,4,0
Aeromonas salmonicida,330,Meat/Poultry,emrE,4,0
Aeromonas salmonicida,330,Reptile,qac,0,0
