Species,Genus,Total_genus,Source,Class,total_from_source,number_res
Aeromonas salmonicida,Aeromonas,330,Egg,nitroimidazole,,
Aeromonas salmonicida,Aeromonas,330,Egg,phenicol,,
Aeromonas salmonicida,Aeromonas,330,Egg,phenicol_oxazolidinone,,
Aeromonas salmonicida,Aeromonas,330,Egg,phenicol_quinolone,,
Aeromonas salmonicida,Aeromonas,330,Egg,pluromutilin,,
Aeromonas salmonicida,Aeromonas,330,Egg,polymyxin,,
Aeromonas salmonicida,Aeromonas,330,Egg,quinolone,,
Aeromonas salmonicida,Aeromonas,330,Egg,rifamycin,,
Aeromonas salmonicida,Aeromonas,330,Egg,streptogramin,,
Aeromonas salmonicida,Aeromonas,330,Egg,streptothricin,,
Aeromonas salmonicida,Aeromonas,330,Egg,sulphonamide,,
Aeromonas salmonicida,Aeromonas,330,Egg,tetracenomycin,,
Aeromonas salmonicida,Aeromonas,330,Egg,tetracycline,,
Aeromonas salmonicida,Aeromonas,330,Egg,thiostrepton,,
Aeromonas salmonicida,Aeromonas,330,Egg,trimethoprim,,
Aeromonas salmonicida,Aeromonas,330,Egg,tuberactinomycin,,
Aeromonas salmonicida,Aeromonas,330,Egg,Biocide,,
Aeromonas salmonicida,Aeromonas,330,Egg,Metal,,
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,aminoglycoside,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,betalactam,6,6
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,bleomycin,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,fosfomycin,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,fusidic acid,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,glycopeptide,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,MLS,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,macrolide,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,lincosamide,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,lincosamide_streptogramin,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,mupirocin,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,nitroimidazole,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,phenicol,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,phenicol_oxazolidinone,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,phenicol_quinolone,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,pluromutilin,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,polymyxin,6,3
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,quinolone,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,rifamycin,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,streptogramin,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,streptothricin,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,sulphonamide,6,1
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,tetracenomycin,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,tetracycline,6,1
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,thiostrepton,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,trimethoprim,6,1
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,tuberactinomycin,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,Biocide,6,1
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,Metal,6,5
Aeromonas salmonicida,Aeromonas,330,Multi-product,aminoglycoside,6,1
Aeromonas salmonicida,Aeromonas,330,Multi-product,betalactam,6,6
Aeromonas salmonicida,Aeromonas,330,Multi-product,bleomycin,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,fosfomycin,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,fusidic acid,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,glycopeptide,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,MLS,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,macrolide,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,lincosamide,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,lincosamide_streptogramin,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,mupirocin,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,nitroimidazole,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,phenicol,6,1
Aeromonas salmonicida,Aeromonas,330,Multi-product,phenicol_oxazolidinone,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,phenicol_quinolone,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,pluromutilin,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,polymyxin,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,quinolone,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,rifamycin,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,streptogramin,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,streptothricin,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,sulphonamide,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,tetracenomycin,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,tetracycline,6,1
Aeromonas salmonicida,Aeromonas,330,Multi-product,thiostrepton,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,trimethoprim,6,1
Aeromonas salmonicida,Aeromonas,330,Multi-product,tuberactinomycin,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,Biocide,6,1
Aeromonas salmonicida,Aeromonas,330,Multi-product,Metal,6,6
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,aminoglycoside,4,2
